셀,베이,단,면,x_m,y_m,E→셀_s,셀→A_s,왕복_s
0,1,1,앞,5.55,1.5,19.035,19.035,38.069
1,2,1,앞,11.2,1.5,17.567,17.097,34.664
2,3,1,앞,16.85,1.5,17.567,15.16,32.727
3,4,1,앞,22.5,1.5,17.567,13.153,30.72
4,5,1,앞,28.15,1.5,17.567,10.794,28.36
5,6,1,앞,33.8,1.5,17.567,7.746,25.313
6,1,2,앞,5.55,4.4,19.035,19.035,38.069
7,2,2,앞,11.2,4.4,17.097,17.097,34.195
8,3,2,앞,16.85,4.4,15.16,15.16,30.32
9,4,2,앞,22.5,4.4,14.087,13.153,27.24
10,5,2,앞,28.15,4.4,14.087,10.794,24.88
11,6,2,앞,33.8,4.4,14.087,7.746,21.833
12,1,3,앞,5.55,7.3,19.035,19.035,38.069
13,2,3,앞,11.2,7.3,17.097,17.097,34.195
14,3,3,앞,16.85,7.3,15.16,15.16,30.32
15,4,3,앞,22.5,7.3,13.153,13.153,26.306
16,5,3,앞,28.15,7.3,10.794,10.794,21.587
17,6,3,앞,33.8,7.3,10.607,8.627,19.233
18,1,4,앞,5.55,10.2,19.035,19.035,38.069
19,2,4,앞,11.2,10.2,17.097,17.097,34.195
20,3,4,앞,16.85,10.2,15.16,15.16,30.32
21,4,4,앞,22.5,10.2,13.153,13.153,26.306
22,5,4,앞,28.15,10.2,10.794,12.107,22.9
23,6,4,앞,33.8,10.2,7.746,12.107,19.853
24,1,5,앞,5.55,13.1,19.035,19.035,38.069
25,2,5,앞,11.2,13.1,17.097,17.097,34.195
26,3,5,앞,16.85,13.1,15.16,15.587,30.747
27,4,5,앞,22.5,13.1,13.153,15.587,28.74
28,5,5,앞,28.15,13.1,10.794,15.587,26.38
29,6,5,앞,33.8,13.1,7.746,15.587,23.333
30,1,6,앞,5.55,16,19.035,19.067,38.101
31,2,6,앞,11.2,16,17.097,19.067,36.164
32,3,6,앞,16.85,16,15.16,19.067,34.227
33,4,6,앞,22.5,16,13.153,19.067,32.22
34,5,6,앞,28.15,16,10.794,19.067,29.86
35,6,6,앞,33.8,16,7.746,19.067,26.813
36,1,1,뒤,5.55,1.5,19.035,19.035,38.069
37,2,1,뒤,11.2,1.5,17.567,17.097,34.664
38,3,1,뒤,16.85,1.5,17.567,15.16,32.727
39,4,1,뒤,22.5,1.5,17.567,13.153,30.72
40,5,1,뒤,28.15,1.5,17.567,10.794,28.36
41,6,1,뒤,33.8,1.5,17.567,7.746,25.313
42,1,2,뒤,5.55,4.4,19.035,19.035,38.069
43,2,2,뒤,11.2,4.4,17.097,17.097,34.195
44,3,2,뒤,16.85,4.4,15.16,15.16,30.32
45,4,2,뒤,22.5,4.4,14.087,13.153,27.24
46,5,2,뒤,28.15,4.4,14.087,10.794,24.88
47,6,2,뒤,33.8,4.4,14.087,7.746,21.833
48,1,3,뒤,5.55,7.3,19.035,19.035,38.069
49,2,3,뒤,11.2,7.3,17.097,17.097,34.195
50,3,3,뒤,16.85,7.3,15.16,15.16,30.32
51,4,3,뒤,22.5,7.3,13.153,13.153,26.306
52,5,3,뒤,28.15,7.3,10.794,10.794,21.587
53,6,3,뒤,33.8,7.3,10.607,8.627,19.233
54,1,4,뒤,5.55,10.2,19.035,19.035,38.069
55,2,4,뒤,11.2,10.2,17.097,17.097,34.195
56,3,4,뒤,16.85,10.2,15.16,15.16,30.32
57,4,4,뒤,22.5,10.2,13.153,13.153,26.306
58,5,4,뒤,28.15,10.2,10.794,12.107,22.9
59,6,4,뒤,33.8,10.2,7.746,12.107,19.853
60,1,5,뒤,5.55,13.1,19.035,19.035,38.069
61,2,5,뒤,11.2,13.1,17.097,17.097,34.195
62,3,5,뒤,16.85,13.1,15.16,15.587,30.747
63,4,5,뒤,22.5,13.1,13.153,15.587,28.74
64,5,5,뒤,28.15,13.1,10.794,15.587,26.38
65,6,5,뒤,33.8,13.1,7.746,15.587,23.333
66,1,6,뒤,5.55,16,19.035,19.067,38.101
67,2,6,뒤,11.2,16,17.097,19.067,36.164
68,3,6,뒤,16.85,16,15.16,19.067,34.227
69,4,6,뒤,22.5,16,13.153,19.067,32.22
70,5,6,뒤,28.15,16,10.794,19.067,29.86
71,6,6,뒤,33.8,16,7.746,19.067,26.813
